Altium Designer Pick and Place Locations
C:\Users\Nina Diringer\repos\uz_per_torque_kistler_burster\PCB_Project\Project Outputs for uz_per_torque_kistler_burster\Rev1\Pick Place\Pick_and_Place_uz_per_torque_kistler_burster_[No Variations]_Rev1.csv

========================================================================================================================
File Design Information:

Date:       12.06.23
Time:       11:21
Revision:   731a361d0f05c396256adf0583a59fe17c1df3a8
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X2","1_Pin_Header","24.3840","24.3840","206.0220","206.0220","24.3840","206.0220","0","4-103327-3","TopLayer"
"X1","1_Pin_Header","28.8290","28.8290","206.0220","206.0220","28.8290","206.0220","0","4-103327-3","TopLayer"
"J3","634008149821","92.1250","89.6100","193.0000","193.0000","84.6200","196.5700","90","6339160-1","TopLayer"
"DC1","DC-005-5A-2.5-SMT","60.0000","65.2070","230.1733","221.9501","70.7074","224.9999","270","DC-005-5A-2.5-SMT","TopLayer"
"J4","DSUB1.385-2H9","0.0000","9.5000","100.0000","100.0000","10.9200","94.4600","90","D-DMR009PF-D002","TopLayer"
"J11","DSUB1.385-2H9","100.0000","90.5000","34.5000","34.5000","89.0800","40.0400","270","D-DMR009PF-D002","TopLayer"
"J9","DSUB1.385-2H9","0.0000","9.5000","37.5000","37.5000","10.9200","31.9600","90","D-DMR009PF-D002","TopLayer"
"J5","DSUB1.385-2H9","100.0000","90.5000","117.4000","117.4000","89.0800","122.9400","270","D-DMR009PF-D002","TopLayer"
"J8","FCR7350","49.5300","49.5300","0.0000","9.6985","49.5300","10.9785","270","FCR7350B, PCB mount 4mm jack, BLACK","TopLayer"
"X3","IPL1-108-01-L-D-RA-K","40.0000","40.0000","227.2310","227.2310","31.1100","228.5010","0","IPL1-108-01-L-D-RA-K","TopLayer"
"J6","PCB_-_MISC_-_DSUB15","90.6500","90.6500","158.0000","158.0000","89.2300","167.6950","90","SUB-DRBF-607A-002","TopLayer"
"J10","PCB_-_MISC_-_DSUB15","90.6500","90.6500","77.5000","77.5000","89.2300","87.1950","90","SUB-DRBF-607A-002","TopLayer"
"J1","PCB_-_MISC_-_DSUB15","9.6000","9.6000","195.0000","195.0000","11.0200","185.3050","270","SUB-DRBF-607A-002","TopLayer"
"J7","PCB_-_MISC_-_DSUB15","9.6000","9.6000","145.0000","145.0000","11.0200","135.3050","270","SUB-DRBF-607A-002","TopLayer"
"R1","RES_0603_1608","18.4150","18.4150","184.5310","184.5310","18.4150","183.8810","90","0R","TopLayer"
"R16","RES_0603_1608","74.8030","74.8030","23.5020","23.5020","74.8030","22.8520","90","0R","TopLayer"
"R15","RES_0603_1608","73.5330","73.5330","66.1740","66.1740","73.5330","65.5240","90","0R","TopLayer"
"R14","RES_0603_1608","14.9860","14.9860","46.0860","46.0860","14.9860","45.4360","90","0R","TopLayer"
"R10","RES_0603_1608","18.5420","18.5420","127.7620","127.7620","18.5420","127.1120","90","0R","TopLayer"
"R9","RES_0603_1608","77.8510","77.8510","163.2630","163.2630","77.8510","162.6130","90","0R","TopLayer"
"R8","RES_0603_1608","74.6760","74.6760","104.3790","104.3790","74.6760","103.7290","90","0R","TopLayer"
"R7","RES_0603_1608","15.7480","15.7480","109.7280","109.7280","15.7480","109.0780","90","0R","TopLayer"
"R6","RES_0603_1608","80.5030","80.5030","183.9240","183.9240","79.8530","183.9240","0","0R","TopLayer"
"R4","RES_0603_1608","24.3840","24.3840","212.4710","212.4710","23.7340","212.4710","0","0R","TopLayer"
"R2","RES_0603_1608","78.8670","78.8670","218.8490","218.8490","78.2170","218.8490","0","0R","TopLayer"
"R13","RES_0603_1608","38.7350","38.7350","197.0050","197.0050","38.7350","196.3550","90","1k","TopLayer"
"R12","RES_0603_1608","40.8940","40.8940","197.0050","197.0050","40.8940","197.6550","270","27k","TopLayer"
"R11","RES_0603_1608","44.4500","44.4500","197.1320","197.1320","44.4500","196.4820","90","20k","TopLayer"
"R5","RES_0603_1608","74.1680","74.1680","205.5140","205.5140","74.1680","206.1640","270","20k","TopLayer"
"R3","RES_0603_1608","75.9460","75.9460","205.5140","205.5140","75.9460","204.8640","90","20k","TopLayer"
"J2","RF-TH_5227661-1","89.8400","89.8400","213.7690","213.7690","87.3000","213.7690","90","5227661-1","TopLayer"
"Serial1","SERIAL","64.5160","0.0000","137.1880","0.0000","0.0000","0.0000","0","Serial #","TopLayer"
"SW2","SW-SMD_DSIC01LSGET","59.0550","59.0550","187.6640","187.6640","59.0550","192.0391","0","DSIC01LSGET","TopLayer"
"SW1","SW-SMD_DSIC01LSGET","44.5770","44.5770","187.7340","187.7340","44.5770","192.1090","0","DSIC01LSGET","TopLayer"
